epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.6587,1.40198,1.76184,1.58806,0.82806,0.46012,0.58599,0.36138,1.41886,1.72964,1.70189,0.000475542,0.000475542,0.000475542
2,115.244,1.42986,1.38953,1.62683,0.53473,0.56971,0.53079,0.29873,1.67178,1.76193,1.83116,0.000933028,0.000933028,0.000933028
3,164.987,1.38082,1.30693,1.60074,0.6676,0.66158,0.68828,0.4298,1.4006,1.25614,1.61596,0.00137165,0.00137165,0.00137165
4,214.541,1.3146,1.17184,1.54687,0.78579,0.6669,0.73897,0.45101,1.36858,1.20147,1.57954,0.00134412,0.00134412,0.00134412
5,264.062,1.26036,1.09548,1.50182,0.62505,0.705,0.72599,0.48465,1.24977,1.09074,1.4928,0.00131582,0.00131582,0.00131582
6,313.553,1.24199,1.06092,1.47896,0.73389,0.78439,0.78463,0.54933,1.18041,0.92444,1.45784,0.00128753,0.00128753,0.00128753
7,363.291,1.20036,0.97832,1.45998,0.75391,0.77705,0.79344,0.5335,1.2106,0.92037,1.4609,0.00125923,0.00125923,0.00125923
8,412.709,1.17455,0.96085,1.43985,0.80131,0.8025,0.8224,0.55818,1.17452,0.90918,1.4182,0.00123094,0.00123094,0.00123094
9,462.499,1.14848,0.90407,1.41835,0.77592,0.79135,0.80186,0.52446,1.22667,0.87345,1.46579,0.00120265,0.00120265,0.00120265
10,511.966,1.13472,0.87304,1.41582,0.82516,0.80403,0.83792,0.56082,1.18055,0.82572,1.40889,0.00117435,0.00117435,0.00117435
11,561.576,1.11789,0.84814,1.39501,0.79049,0.81712,0.82369,0.55248,1.14452,0.85248,1.41381,0.00114606,0.00114606,0.00114606
12,611.201,1.11403,0.83494,1.3988,0.83998,0.83489,0.86707,0.57446,1.17019,0.7627,1.43441,0.00111776,0.00111776,0.00111776
13,660.671,1.0752,0.79418,1.36384,0.82058,0.83054,0.85494,0.58144,1.13327,0.7647,1.40899,0.00108947,0.00108947,0.00108947
14,710.442,1.07704,0.79858,1.37343,0.73357,0.7725,0.81863,0.56111,1.15497,0.84907,1.42557,0.00106118,0.00106118,0.00106118
15,759.83,1.06715,0.78027,1.36115,0.82728,0.85541,0.87752,0.62542,1.1107,0.72256,1.36822,0.00103288,0.00103288,0.00103288
16,809.319,1.04351,0.75548,1.34442,0.85846,0.85505,0.87133,0.62314,1.09435,0.69216,1.37301,0.00100459,0.00100459,0.00100459
17,858.639,1.02581,0.7413,1.33471,0.85046,0.82815,0.87042,0.62888,1.07791,0.713,1.35128,0.000976293,0.000976293,0.000976293
18,908.142,1.02767,0.7468,1.33419,0.8496,0.87404,0.88943,0.62972,1.08515,0.69589,1.36836,0.000947999,0.000947999,0.000947999
19,957.738,1.04305,0.73306,1.34002,0.84186,0.84688,0.88554,0.61457,1.11863,0.69872,1.37294,0.000919704,0.000919704,0.000919704
20,1007.17,1.01189,0.70147,1.3148,0.87804,0.86114,0.89525,0.62244,1.07591,0.68216,1.35215,0.00089141,0.00089141,0.00089141
