epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.0422,1.40798,1.7364,1.57853,0.48516,0.58801,0.5392,0.31072,1.59277,1.95358,1.83869,0.000475577,0.000475577,0.000475577
2,121.403,1.45139,1.41678,1.64245,0.61477,0.62863,0.62591,0.3642,1.5241,1.728,1.77632,0.000933063,0.000933063,0.000933063
3,173.949,1.38809,1.28821,1.59878,0.62626,0.47434,0.54303,0.32165,1.56671,1.84585,1.80197,0.00137169,0.00137169,0.00137169
4,226.294,1.32347,1.20325,1.55021,0.6106,0.72705,0.70789,0.44885,1.31335,1.18867,1.58612,0.00134412,0.00134412,0.00134412
5,278.72,1.2646,1.09553,1.49614,0.6511,0.50842,0.55857,0.36248,1.46921,1.47002,1.72056,0.00131582,0.00131582,0.00131582
6,331.05,1.23905,1.0559,1.46991,0.77106,0.77324,0.81286,0.52302,1.28589,0.93587,1.52058,0.00128753,0.00128753,0.00128753
7,383.439,1.18944,0.96929,1.43595,0.78638,0.80257,0.83174,0.55904,1.1493,0.91155,1.44543,0.00125923,0.00125923,0.00125923
8,435.856,1.20401,0.97336,1.45668,0.80719,0.80455,0.8354,0.55713,1.15316,0.85924,1.42587,0.00123094,0.00123094,0.00123094
9,488.322,1.15875,0.92444,1.42617,0.80676,0.82848,0.83944,0.56867,1.11174,0.82829,1.388,0.00120265,0.00120265,0.00120265
10,540.639,1.15323,0.89971,1.41018,0.7965,0.80858,0.8497,0.5862,1.1094,0.76617,1.3922,0.00117435,0.00117435,0.00117435
11,593.124,1.10875,0.86294,1.37097,0.81736,0.83605,0.85088,0.57359,1.13272,0.78016,1.39834,0.00114606,0.00114606,0.00114606
12,645.383,1.10671,0.84853,1.37577,0.85785,0.81963,0.86487,0.59258,1.11741,0.74387,1.38417,0.00111776,0.00111776,0.00111776
13,697.878,1.10016,0.81621,1.36812,0.80512,0.80009,0.84767,0.57803,1.11385,0.77323,1.39262,0.00108947,0.00108947,0.00108947
14,750.011,1.07449,0.79135,1.3532,0.84113,0.83463,0.86813,0.61073,1.0605,0.72,1.36007,0.00106118,0.00106118,0.00106118
15,802.548,1.06112,0.77703,1.34036,0.86321,0.83408,0.86774,0.59698,1.07703,0.7413,1.35996,0.00103288,0.00103288,0.00103288
16,854.856,1.05746,0.77592,1.34844,0.86221,0.84627,0.88133,0.61957,1.0509,0.70205,1.34953,0.00100459,0.00100459,0.00100459
17,907.342,1.03786,0.75541,1.32651,0.84694,0.84683,0.88626,0.62673,1.043,0.6724,1.33402,0.000976293,0.000976293,0.000976293
18,959.728,1.03363,0.74242,1.32328,0.86225,0.86176,0.88896,0.63177,1.01789,0.6869,1.32078,0.000947999,0.000947999,0.000947999
19,1012.27,1.02201,0.71419,1.32793,0.86984,0.82725,0.87587,0.62549,1.01578,0.68698,1.32528,0.000919704,0.000919704,0.000919704
20,1064.43,1.01626,0.71305,1.30583,0.87047,0.85388,0.89578,0.63624,1.00568,0.65095,1.30904,0.00089141,0.00089141,0.00089141
21,1116.95,1.00622,0.70543,1.30228,0.86104,0.8687,0.90148,0.64548,0.97693,0.63102,1.28901,0.000863116,0.000863116,0.000863116
22,1169.29,1.01361,0.68026,1.31315,0.85335,0.86886,0.88568,0.6368,1.0031,0.64761,1.32485,0.000834822,0.000834822,0.000834822
23,1221.77,0.99129,0.68126,1.29415,0.85635,0.86738,0.89929,0.64217,1.00786,0.62327,1.32325,0.000806528,0.000806528,0.000806528
24,1274.09,0.97896,0.65326,1.27564,0.86784,0.87598,0.90464,0.64801,0.96901,0.61979,1.29412,0.000778233,0.000778233,0.000778233
25,1326.59,0.9908,0.68208,1.28813,0.89251,0.86501,0.91153,0.65608,0.97203,0.60447,1.29534,0.000749939,0.000749939,0.000749939
26,1378.95,0.97889,0.66909,1.27726,0.8886,0.88627,0.91374,0.66095,0.94922,0.59928,1.27711,0.000721645,0.000721645,0.000721645
27,1431.34,0.96089,0.64245,1.26719,0.9011,0.87474,0.91045,0.66806,0.95568,0.58727,1.26602,0.000693351,0.000693351,0.000693351
28,1483.74,0.94706,0.62065,1.26415,0.90319,0.87566,0.91983,0.66538,0.97995,0.57153,1.29472,0.000665057,0.000665057,0.000665057
