epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8374,1.3206,2.27637,1.3729,0.70154,0.68292,0.70246,0.5108,1.18253,1.69039,1.29808,0.000553562,0.000553562,0.000553562
2,36.2908,1.2513,1.48531,1.31009,0.79159,0.71209,0.75217,0.56225,1.09919,1.14163,1.2662,0.00108727,0.00108727,0.00108727
3,48.2546,1.21189,1.17149,1.2917,0.85817,0.78851,0.84333,0.61534,1.07653,1.01303,1.23413,0.00159897,0.00159897,0.00159897
4,60.22,1.20117,1.09009,1.28942,0.86465,0.8124,0.85848,0.63107,1.02917,0.83748,1.19256,0.00156798,0.00156798,0.00156798
5,72.1571,1.15703,1.00748,1.27057,0.77838,0.73568,0.79011,0.56,1.11107,1.07796,1.2915,0.00153497,0.00153497,0.00153497
6,84.006,1.10534,0.9295,1.2324,0.81724,0.78609,0.81359,0.62245,0.98538,0.85878,1.19056,0.00150197,0.00150197,0.00150197
7,96.0149,1.09919,0.89471,1.23312,0.85636,0.79979,0.83342,0.61756,1.05415,0.90472,1.27155,0.00146896,0.00146896,0.00146896
8,107.97,1.1002,0.88753,1.23381,0.90425,0.81991,0.88484,0.66895,0.95056,0.71913,1.15557,0.00143595,0.00143595,0.00143595
9,120.003,1.07579,0.85022,1.22093,0.87748,0.83649,0.88282,0.66799,0.96183,0.71974,1.15878,0.00140295,0.00140295,0.00140295
10,131.891,1.0544,0.8365,1.20085,0.82215,0.87813,0.88818,0.67722,0.94646,0.70629,1.15501,0.00136994,0.00136994,0.00136994
11,143.897,1.02617,0.80091,1.19015,0.86154,0.85889,0.88866,0.68448,0.94929,0.68808,1.15748,0.00133693,0.00133693,0.00133693
12,155.847,1.02552,0.79583,1.18485,0.88142,0.86316,0.90043,0.67887,0.97997,0.67343,1.18782,0.00130393,0.00130393,0.00130393
13,167.865,1.01518,0.77282,1.17557,0.86179,0.85054,0.88237,0.6826,0.94012,0.71037,1.161,0.00127092,0.00127092,0.00127092
14,179.645,1.00735,0.75439,1.15946,0.88829,0.85868,0.89812,0.68041,0.94997,0.63848,1.15265,0.00123791,0.00123791,0.00123791
15,191.593,1.00884,0.77838,1.16634,0.92613,0.85868,0.91535,0.70734,0.90453,0.6257,1.12843,0.00120491,0.00120491,0.00120491
16,203.571,1.01778,0.74652,1.17022,0.9031,0.86513,0.91099,0.70649,0.90963,0.62823,1.13676,0.0011719,0.0011719,0.0011719
17,215.587,0.98147,0.72191,1.15891,0.87888,0.87563,0.91409,0.71561,0.87979,0.62733,1.12227,0.00113889,0.00113889,0.00113889
18,227.482,0.98074,0.70589,1.15274,0.92693,0.85308,0.90652,0.70256,0.92305,0.60718,1.13773,0.00110589,0.00110589,0.00110589
19,239.448,0.98834,0.71062,1.15273,0.89462,0.88475,0.92293,0.72325,0.87439,0.57625,1.11427,0.00107288,0.00107288,0.00107288
20,251.357,0.97276,0.71911,1.14569,0.92776,0.8436,0.90901,0.68304,0.95838,0.63128,1.1682,0.00103987,0.00103987,0.00103987
21,263.39,0.96954,0.71809,1.13986,0.90831,0.88087,0.9164,0.72225,0.86082,0.57366,1.10641,0.00100687,0.00100687,0.00100687
